title,url,sizeInBytes
Designer Outlet Shopping in Oxfordshire near London | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/,222801
Plan Your Visit | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/,252618
150 Designer Fashion Brands with up to 40% off RRP - Shops at Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/,222212
What's On | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/whats-on/,250426
Luxury Restaurants | Luxury Food | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/dine/,203962
Membership Programme | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/member/,231718
Bicester Village Map | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/map/,70032
Shopping Packages | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/services/shopping-packages/,202389
Latest Offers | Bicester Village Outlet Sale | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/offers/,369148
The Village News | Outlet UK | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/village-workshop/,181296
Exclusive Fashion and Style Icons at Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/products/luxury-fashion-icons/,606368
Hands Free Shopping | Services | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/services/hands-free-shopping/,96499
The Amber Room - Luxury Shopping Experience | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/campaign/the-amber-room/,652810
New-in | Bicester Village Outlet | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/products/new-arrivals/,754848
Contact Us | Company | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/company/contact/,76997
Frequently Asked Questions | Company | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/company/faq/,123600
Designer and luxury product inspiration | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/products/,203228
Bicester Jobs and Careers | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/careers/,88788
Download our app | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/download-app/,75392
About the Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/company/about/,80594
Our Partners | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/partners/,113518
Partner offers | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/partner-offers/,99196
Luxury Hotels & Cottages in Oxfordshire and London | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/hotels-and-local-attractions/,152765
Top Things to do in Oxford and Oxfordshire | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/things-to-do-in-oxfordshire/,135146
The best places to visit in the Cotswolds | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/things-to-do-in-the-cotswolds/,132229
Terms and Conditions | Legal | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/website-terms-and-conditions/,93220
Privacy Notices | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/privacy-notices/,71515
Visit | Accessibility | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/company/accessibility/,70254
Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/corporate-compliance-policy/,69316
Personal Shopping | Personal Shopper Service | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/services/personal-shopper/,125040
Getting Here | Visit | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/getting-here/#tabs,226654
Shopping Services | Visit | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/services/#tabs,223476
Delivery | Services | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/services/delivery/,100251
Visit | Accessibility | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/accessibility/,81179
Acne Studios Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/acne-studios/,134199
Anine Bing Boutique | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/anine-bing/,225860
Annoushka Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/annoushka/,183789
AllSaints Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/allsaints/,307822
Ami Paris Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/ami-paris/,297237
Aquazzura Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/aquazzura/,228990
"Armani Outlet UK | Watches, Bags & More | Bicester Village",https://www.thebicestercollection.com/bicester-village/en/brands/armani/,182015
Astrid & Miyu Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/astrid-and-miyu/,260056
Axel Arigato Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/axel-arigato/,196773
Ba&sh Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/ba-sh/,208278
Balmain Outlet UK | Sale Now On | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/balmain/,269924
Balenciaga Outlet Near London UK | Bags & More | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/balenciaga/,164845
Bamford Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/bamford/,236000
Barbour Outlet | Sale Now On | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/barbour/,266465
Bang & Olufsen Outlet | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/bang-and-olufsen/,319120
Beauté Prestige International Outlet Boutique | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/beaute-prestige-international/,248463
Belstaff Outlet UK | Sale Now On | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/brands/belstaff/,234755
